max_depth,max_features,min_samples_split,min_samples_leaf,fit_time_sec,experiment_id
377,21,3,3,0.18384337425231934,f491d212-601c-41d7-979a-f553714340bc
144,987,5,5,0.1069493293762207,194fded3-6cbf-4a73-97cc-81e6405aa78a
377,4181,3,8,0.12699389457702637,d53f4a11-92a3-4593-88d8-308fdf92fcb1
610,2584,8,2,0.12755179405212402,493fe2fe-8730-4882-9647-0fe07bd3506d
144,4181,13,2,0.11497783660888672,d0df3ced-9e1d-4e51-98e5-98f4db5a7317
4181,4181,5,1,0.13274836540222168,7c9aada0-7233-40c4-8192-9694aa8a94dc
